"","x"
"1","X._guncontrol"
"2","X._nra"
"3","X._2a"
"4","X._parkland"
"5","X._gunsense"
"6","X._florida"
"7","X._usa"
"8","X._daca"
"9","X._spreaker"
"10","X._demoniacresistance"
"11","X._jeffsessions"
"12","X._marijuanalaws"
"13","X._sheriffscottisrael"
"14","X._prolife"
"15","X._1a"
"16","X._buildthewall"
"17","X._trump"
"18","X._maga"
"19","X._protectourkids"
"20","X._nypd"
"21","X._tcot"
"22","X._parklandshooting"
"23","X._merica"
"24","X._browardcountysheriff"
"25","X._neveragain"
"26","X._marchforourlives"
"27","X._gop"
"28","X._gun"
"29","X._rifle"
"30","X._justice"
"31","X._msnbc"
"32","X._foxnews"
"33","X._dems"
"34","X._resistance"
"35","X._obamagate"
"36","X._wethepeople"
"37","X._greatawakening"
"38","X._qanon"
"39","X._banassaultrifles"
"40","X._defendthesecond"
"41","X._delta"
"42","X._amazon"
"43","X._reagan"
"44","X._americafirst"
"45","X._2ndamendment"
"46","X._trump2020"
"47","X._constitution"
"48","X._liberty"
"49","X._waynelapierre"
"50","X._cnnisfakenews"
"51","X._resist"
"52","X._left"
"53","X._sheriffisrael"
"54","X._sheriffisraelresign"
"55","X._guncontrolnow"
"56","X._nwo"
"57","X._corruption"
"58","X._racism"
"59","X._russia"
"60","X._politics"
"61","X._boycottnra"
"62","X._uspolitics"
"63","X._tuesdaythoughts"
"64","X._tyranny"
"65","X._fail"
"66","X._nraboycott"
"67","X._nrabloodmoney"
"68","X._ar15"
"69","X._thestormisuponus"
"70","X._usaf"
"71","X._thestormishere"
"72","X._browardcowards"
"73","X._resignsheriffisrael"
"74","X._q"
"75","X._mentalhealth"
"76","X._scotus"
"77","X._gunreform"
"78","X._guncontolnow"
"79","X._fakenews"
"80","X._presidenttrump"
"81","X._gunrights"
"82","X._teaparty"
"83","X._pjnet"
"84","X._potus"
"85","X._nratv"
"86","X._2ashallnotbeinfringed"
"87","X._2adefenders"
"88","X._boycottfedex"
"89","X._fedexbloodmoney"
"90","X._guncontrolnever"
"91","X._msm"
"92","X._evil"
"93","X._leftists"
"94","X._schoolshootings"
"95","X._gunviolence"
"96","X._israel"
"97","X._esg"
"98","X._boycotnra"
"99","X._supportthenra"
"100","X._lol"
"101","X._nralifemember"
"102","X._2ndamendmentrights"
"103","X._expectus"
"104","X._standwithnra"
"105","X._liberallogic"
"106","X._parklandschoolshooting"
"107","X._lastword"
"108","X._morningjoe"
"109","X._cops"
"110","X._schoolshooting"
"111","X._supportnra"
"112","X._hypocrisy"
"113","X._molonlabe"
"114","X._liberalismisamentaldisorder"
"115","X._americans"
"116","X._impeach"
"117","X._boycott"
"118","X._gunlobby"
"119","X._humanity"
"120","X._podcast"
"121","X._dnc"
"122","X._republicans"
"123","X._nrabloodonyourhands"
"124","X._alexjones"
"125","X._trumptrain"
"126","X._news"
"127","X._armmewith"
"128","X._shootings"
"129","X._parenting"
"130","X._democrat"
"131","X._neveragainmsd"
"132","X._danaloesch"
"133","X._parklandstrong"
"134","X._falseflag"
"135","X._parklandstudents"
"136","X._cnntownhall"
"137","X._pos"
"138","X._fuckthenra"
"139","X._tv"
"140","X._nraisaterroristorganization"
"141","X._gunfreezoneskill"
"142","X._nrastrong"
"143","X._lastweektonight"
"144","X._ar15s"
"145","X._nomore"
"146","X._fisagate"
"147","X._thread"
"148","X._metoo"
"149","X._massshootings"
"150","X._assaultweapons"
"151","X._boycottdelta"
"152","X._sandyhook"
"153","X._caseycagle"
"154","X._nazi"
"155","X._killthenra"
"156","X._veterans"
"157","X._boycottamazon"
"158","X._texas"
"159","X._unarmed"
"160","X._school"
"161","X._siege"
"162","X._gunman"
"163","X._2amendment"
"164","X._lawandlegislation"
"165","X._freedom"
"166","X._makeamericagreatagain"
"167","X._iamthenra"
"168","X._periscope"
"169","X._pph"
"170","X._bnc"
"171","X._jgf"
"172","X._cbts"
"173","X._closernation"
"174","X._blog"
"175","X._eggdrp"
"176","X._monda"
"177","X._2018shift"
"178","X._16ascendants"
"179","X._rtrrt"
"180","X._surv"
"181","X._blackpanther"
"182","X._mosquemetoo"
"183","X._illuminati"
"184","X._visegrad"
"185","X._survivor"
"186","X._120db"
"187","X._eu"
"188","X._orban"
"189","X._prep"
"190","X._wakanda"
"191","X._gunreformnow"
"192","X._banassaultweapons"
"193","X._march4ourlives"
"194","X._lgbt"
"195","X._votethemout2018"
"196","X._parklandstudentsspeak"
"197","X._votethemout"
"198","X._studentsstandup"
"199","X._commonsensegunlaws"
"200","X._schoolsafety"
"201","X._impeachtrump"
"202","X._standingrock"
"203","X._msdstrong"
"204","X._womensmarch"
"205","X._tweetyournramembership"
"206","X._patriots"
"207","X._hoggwash"
"208","X._sjw"
"209","X._godblessamerica"
"210","X._comeandtakeit"
"211","X._2ndammendment"
"212","X._blackhistorymonth"
"213","X._lynchingsinamerica"
"214","X._bluewave2018"
"215","X._mindblown"
"216","X._militaryparade"
"217","X._sadistic"
"218","X._threatening"
"219","X._journalists"
"220","X._enough"
"221","X._theresistance"
"222","X._momsdemandaction"
"223","X._bloodmoney"
"224","X._swat"
"225","X._ar15stories"
"226","X._tyaranny"
"227","X._ocra"
"228","X._newday"
"229","X._sheriff"
"230","X._corrupt"
"231","X._deathpenalty"
"232","X._congress"
"233","X._aca"
"234","X._boycottgeorgia"
"235","X._gopisanorganizedcrimegang"
"236","X._banassaultweaponsnow"
"237","X._nrakillskids"
"238","X._boycottnrasponsors"
"239","X._liberallie"
"240","X._gunfreezone"
"241","X._truth"
"242","X._flag"
"243","X._country"
"244","X._anthem"
"245","X._istandwiththenra"
"246","X._shallnotbeinfringed"
"247","X._georgia"
"248","X._npr"
"249","X._nonramoney"
"250","X._trumpcolluded"
"251","X._rednationrising"
"252","X._deathwish"
"253","X._killers"
"254","X._lunatics"
"255","X._psychopathic"
"256","X._psychopaths"
"257","X._criminallyinsane"
"258","X._jail"
"259","X._insaneasylum"
"260","X._gunculture"
"261","X._lie"
"262","X._lasvegasshooting"
"263","X._globalist"
"264","X._unitednations"
"265","X._teacherswithguns"
"266","X._dallasmavericks"
"267","X._dalvsind"
"268","X._mavs"
"269","X._mentalinstitutions"
"270","X._roadblock"
"271","X._stopping"
"272","X._listeningsession"
"273","X._murderers"
"274","X._assaultweapon"
"275","X._altleft"
"276","X._oh14"
"277","X._ohleg"
"278","X._firearm"
"279","X._goa"
"280","X._magazinelimits"
"281","X._cliplimits"
"282","X._2nd"
"283","X._moreguns"
"284","X._poll"
"285","t_nra"
"286","t_fedex"
"287","t_potus"
"288","t_cnn"
"289","t_gop"
"290","t_putinrumpnra"
"291","t_nratv"
"292","t_foxnews"
"293","t_14yearold"
"294","t_foxandfriends"
"295","t_taxcut"
"296","t_soflagirafhttpstcoviij5w1ktx"
"297","t_guncontrol"
"298","t_fasttrack"
"299","t_httpstcoxh1qtcsnxo"
"300","t_etcgunsenseguncontrolguncontrolnevermolonlabenra2a"
"301","t_gunsguns"
"302","t_fellowmanguncontrol"
"303","t_sb33"
"304","t_properties"
"305","t_churches"
"306","t_ar15storiescontrol"
"307","t_worldkkkkkkkkkkkkgunguncontrolguncontrolnow"
"308","t_shootingstruth"
"309","t_anthemi"
"310","t_peopleflag"
"311","t_flashbackronald"
"312","t_billguncontrolhttpstcopyhuaevq3q"
"313","t_lunatics"
"314","t_criminallyinsane"
"315","t_insaneasylumnra"
"316","t_httpstcoc4uwglct0zguncontrol"
"317","t_yearsboth"
"318","t_workraw"
"319","t_with"
"320","t_selectfire"
"321","t_sponsorship.s."
"322","t_membershipnot"
"323","t_davidhogg11after"
"324","t_oh14betsyraderoh"
"325","t_nraboycottnra"
"326","t_nygovcuomoguncontrolmagazinelimitscliplimits"
"327","t_a"
"328","t_warning"
"329","t_from"
"330","t_in"
"331","t_your"
"332","t_we"
"333","t_them"
"334","t_their"
"335","t_on"
"336","t_lol"
"337","t_of"
"338","t_how"
"339","t_about"
"340","t_realdonaldtrump"
"341","t_this"
"342","t_student"
"343","t_is"
"344","t_2a"
"345","t_i"
"346","t_yourself"
"347","t_17"
"348","t_people"
"349","t_died"
"350","t_the"
"351","t_failures"
"352","t_law"
"353","t_to"
"354","t_do"
"355","t_jobs"
"356","t_its"
"357","t_that"
"358","t_and"
"359","t_must"
"360","t_which"
"361","t_have"
"362","t_not"
"363","t_interest"
"364","t_no"
"365","t_idea"
"366","t_xf0x9fx87xbaxf0x9fx87xb8"
"367","t_while"
"368","t_at"
"369","t_florida"
"370","t_happens"
"371","t_news"
"372","t_usa"
"373","t_are"
"374","t_you"
"375","t_or"
"376","t_going"
"377","t_maybe"
"378","t_but"
"379","t_better"
"380","t_ban"
"381","t_left"
"382","t_right"
"383","t_daca"
"384","t_one"
"385","t_few"
"386","t_tons"
"387","t_uploaded"
"388","t_episode"
"389","t_sheriff"
"390","t_scott"
"391","t_israel"
"392","t_hero"
"393","t_lighting"
"394","t_rod"
"395","t_2"
"396","t_spreaker"
"397","t_demoniacresistance"
"398","t_jeffsessions"
"399","t_marijuanalaws"
"400","t_sheriffscottisrael"
"401","t_httpstcoz74xzsx2az"
"402","t_be"
"403","t_dloesch"
"404","t_itsfiveo"
"405","t_1a"
"406","t_buildthewall"
"407","t_trump"
"408","t_maga"
"409","t_by"
"410","t_georgetakei"
"411","t_all"
"412","t_am"
"413","t_member"
"414","t_my"
"415","t_as"
"416","t_place"
"417","t_work"
"418","t_clinton"
"419","t_obama"
"420","t_it"
"421","t_only"
"422","t_guilt"
"423","t_capable"
"424","t_protectourkids"
"425","t_answer"
"426","t_gun"
"427","t_violence"
"428","t_talk"
"429","t_p"
"430","t_always"
"431","t_who"
"432","t_want"
"433","t_parkland"
"434","t_been"
"435","t_wasnt"
"436","t_guns"
"437","t_active"
"438","t_shooter"
"439","t_tcot"
"440","t_parklandshooting"
"441","t_davidhogg111"
"442","t_for"
"443","t_matter"
"444","t_never"
"445","t_stop"
"446","t_neveragain"
"447","t_marchforourlives"
"448","t_hold"
"449","t_responsible"
"450","t_was"
"451","t_abiding"
"452","t_members"
"453","t_what"
"454","t_more"
"455","t_grip"
"456","t_sale"
"457","t_defense"
"458","t_justice"
"459","t_why"
"460","t_children"
"461","t_supporting"
"462","t_his"
"463","t_able"
"464","t_break"
"465","t_get"
"466","t_joenbc"
"467","t_dems"
"468","t_seem"
"469","t_defend"
"470","t_can"
"471","t_make"
"472","t_money"
"473","t_kills"
"474","t_these"
"475","t_guys"
"476","t_safety"
"477","t_rights"
"478","t_organization"
"479","t_oscars"
"480","t_greatawakening"
"481","t_qanon"
"482","t_limit"
"483","t_via"
"484","t_delta"
"485","t_political"
"486","t_deltaairlines"
"487","t_control"
"488","t_anything"
"489","t_like"
"490","t_big"
"491","t_there"
"492","t_defendthesecond"
"493","t_if"
"494","t_massacre"
"495","t_conservatives"
"496","t_country"
"497","t_hey"
"498","t_amazon"
"499","t_today"
"500","t_think"
"501","t_wait"
"502","t_until"
"503","t_thursday"
"504","t_trumps"
"505","t_agenda"
"506","t_americafirst"
"507","t_2ndamendment"
"508","t_trump2020"
"509","t_nodaca"
"510","t_constitution"
"511","t_hollywood"
"512","t_private"
"513","t_disgusting"
"514","t_bought"
"515","t_sold"
"516","t_wethepeople"
"517","t_said"
"518","t_run"
"519","t_ohio"
"520","t_know"
"521","t_service"
"522","t_resist"
"523","t_floridaschoolshooting"
"524","t_has"
"525","t_liberals"
"526","t_failure"
"527","t_our"
"528","t_system"
"529","t_latest"
"530","t_sheriffisraelresign"
"531","t_guncontrolnow"
"532","t_gunsense"
"533","t_after"
"534","t_market"
"535","t_probably"
"536","t_most"
"537","t_effective"
"538","t_american"
"539","t_nwo"
"540","t_encouraging"
"541","t_top"
"542","t_10"
"543","t_signs"
"544","t_corrupt"
"545","t_nation"
"546","t_racism"
"547","t_russia"
"548","t_politics"
"549","t_boycottnra"
"550","t_uspolitics"
"551","t_dozens"
"552","t_multiple"
"553","t_out"
"554","t_threat"
"555","t_owners"
"556","t_fault"
"557","t_except"
"558","t_broward"
"559","t_county"
"560","t_govt"
"561","t_washingtonpost"
"562","t_stand"
"563","t_assault"
"564","t_weapons"
"565","t_well"
"566","t_handle"
"567","t_2nd"
"568","t_bear"
"569","t_arms"
"570","t_end"
"571","t_state"
"572","t_states"
"573","t_maddow"
"574","t_line"
"575","t_shooting"
"576","t_did"
"577","t_turn"
"578","t_killer"
"579","t_use"
"580","t_knife"
"581","t_gets"
"582","t_taken"
"583","t_kill"
"584","t_responsibility"
"585","t_others"
"586","t_view"
"587","t_ties"
"588","t_grants"
"589","t_tyranny"
"590","t_fail"
"591","t_video"
"592","t_democrats"
"593","t_way"
"594","t_horrible"
"595","t_lives"
"596","t_crimes"
"597","t_nraboycott"
"598","t_nrabloodmoney"
"599","t_would"
"600","t_let"
"601","t_ever"
"602","t_protect"
"603","t_sensanders"
"604","t_killing"
"605","t_other"
"606","t_something"
"607","t_liberal"
"608","t_terrorist"
"609","t_since"
"610","t_sheriffisrael"
"611","t_browardcowards"
"612","t_browardsheriff"
"613","t_q"
"614","t_join"
"615","t_win"
"616","t_unbelievable"
"617","t_please"
"618","t_ass"
"619","t_president"
"620","t_ways"
"621","t_mentalhealth"
"622","t_politicians"
"623","t_powerful"
"624","t_lobbying"
"625","t_manufacturers"
"626","t_therexe2x80x99s"
"627","t_exactly"
"628","t_4"
"629","t_through"
"630","t_day"
"631","t_using"
"632","t_stick"
"633","t_were"
"634","t_attacked"
"635","t_journalists"
"636","t_democrat"
"637","t_therefore"
"638","t_blame"
"639","t_review"
"640","t_crazy"
"641","t_message"
"642","t_kid"
"643","t_book"
"644","t_war"
"645","t_fuck"
"646","t_believe"
"647","t_gunreform"
"648","t_whole"
"649","t_god"
"650","t_fucks"
"651","t_parties"
"652","t_put"
"653","t_marcorubio"
"654","t_caseycagle"
"655","t_center"
"656","t_condemn"
"657","t_years"
"658","t_might"
"659","t_raising"
"660","t_isnt"
"661","t_guncontolnow"
"662","t_goal"
"663","t_party"
"664","t_yay"
"665","t_rightwing"
"666","t_twitter"
"667","t_presidenttrump"
"668","t_given"
"669","t_tax"
"670","t_youre"
"671","t_zero"
"672","t_same"
"673","t_thing"
"674","t_gunrights"
"675","t_refuses"
"676","t_tlot"
"677","t_pjnet"
"678","t_year"
"679","t_plannedparenthood"
"680","t_support"
"681","t_planned"
"682","t_parenthood"
"683","t_found"
"684","t_tweeting"
"685","t_upset"
"686","t_access"
"687","t_imagine"
"688","t_idiot"
"689","t_pathetic"
"690","t_lot"
"691","t_sure"
"692","t_happy"
"693","t_krassenstein"
"694","t_things"
"695","t_threatens"
"696","t_rick"
"697","t_saying"
"698","t_elected"
"699","t_attacks"
"700","t_blames"
"701","t_survivors"
"702","t_built"
"703","t_quite"
"704","t_bless"
"705","t_congress"
"706","t_attack"
"707","t_agree"
"708","t_disagree"
"709","t_act"
"710","t_killings"
"711","t_sheriffclarke"
"712","t_according"
"713","t_me"
"714","t_thoughts"
"715","t_airline"
"716","t_businesses"
"717","t_again"
"718","t_boycottfedex"
"719","t_fedexbloodmoney"
"720","t_house"
"721","t_first"
"722","t_guncontrolnever"
"723","t_im"
"724","t_msm"
"725","t_dark"
"726","t_evil"
"727","t_leftists"
"728","t_star"
"729","t_nras"
"730","t_kids"
"731","t_dead"
"732","t_decision"
"733","t_civil"
"734","t_schoolshootings"
"735","t_emma4change"
"736","t_ahead"
"737","t_losing"
"738","t_hes"
"739","t_topic"
"740","t_backlash"
"741","t_coming"
"742","t_getting"
"743","t_paid"
"744","t_mass"
"745","t_ar15s"
"746","t_havent"
"747","t_gunviolence"
"748","t_cameron_kasky"
"749","t_ready"
"750","t_sales"
"751","t_coward"
"752","t_see"
"753","t_amount"
"754","t_murdered"
"755","t_russian"
"756","t_speakerryan"
"757","t_leaving"
"758","t_duty"
"759","t_claim"
"760","t_issues"
"761","t_check"
"762","t_marxist"
"763","t_fraud"
"764","t_firearm"
"765","t_single"
"766","t_wonder"
"767","t_confused"
"768","t_second"
"769","t_typical"
"770","t_williamlegate"
"771","t_notice"
"772","t_list"
"773","t_dirty"
"774","t_behind"
"775","t_into"
"776","t_holds"
"777","t_accomplice"
"778","t_murder"
"779","t_child"
"780","t_tedcruz"
"781","t_ground"
"782","t_started"
"783","t_trolls"
"784","t_sorry"
"785","t_uses"
"786","t_fix"
"787","t_lie"
"788","t_esg"
"789","t_employers"
"790","t_georgia"
"791","t_arimelber"
"792","t_above"
"793","t_supportthenra"
"794","t_needs"
"795","t_explain"
"796","t_renewed"
"797","t_announced"
"798","t_business"
"799","t_snowflakes"
"800","t_nralifemember"
"801","t_2ndamendmentrights"
"802","t_wish"
"803","t_charge"
"804","t_fall"
"805","t_two"
"806","t_momsdemand"
"807","t_expectus"
"808","t_sponsor"
"809","t_standwithnra"
"810","t_2adefenders"
"811","t_liberallogic"
"812","t_awards"
"813","t_bullet"
"814","t_holes"
"815","t_disarmed"
"816","t_gopxe2x80x99s"
"817","t_airlines"
"818","t_legislators"
"819","t_push"
"820","t_include"
"821","t_protecting"
"822","t_mean"
"823","t_lawabiding"
"824","t_together"
"825","t_parklandschoolshooting"
"826","t_tell"
"827","t_barackobama"
"828","t_morningjoe"
"829","t_cops"
"830","t_successful"
"831","t_question"
"832","t_watched"
"833","t_ones"
"834","t_hypocrisy"
"835","t_keep"
"836","t_cash"
"837","t_molonlabe"
"838","t_prove"
"839","t_liberalismisamentaldisorder"
"840","t_listen"
"841","t_safer"
"842","t_classroom"
"843","t_canxe2x80x99t"
"844","t_bots"
"845","t_david"
"846","t_hogg"
"847","t_past"
"848","t_history"
"849","t_happen"
"850","t_united"
"851","t_rental"
"852","t_24"
"853","t_corporate"
"854","t_policies"
"855","t_2ashallnotbeinfringed"
"856","t_issue"
"857","t_joined"
"858","t_turned"
"859","t_breitbartnews"
"860","t_refusing"
"861","t_encourage"
"862","t_unconstitutional"
"863","t_campus"
"864","t_arming"
"865","t_teachers"
"866","t_flush"
"867","t_cesspool"
"868","t_hit"
"869","t_washington"
"870","t_senatemajldr"
"871","t_blithering"
"872","t_devinnunes"
"873","t_impeach"
"874","t_boycott"
"875","t_dbongino"
"876","t_nyc"
"877","t_jackposobiec"
"878","t_fake"
"879","t_tomilahren"
"880","t_gunlobby"
"881","t_tough"
"882","t_rt"
"883","t_draw"
"884","t_red"
"885","t_nobody"
"886","t_humanity"
"887","t_case"
"888","t_podcast"
"889","t_public"
"890","t_wholefoods"
"891","t_doesnxe2x80x99t"
"892","t_taxes"
"893","t_sharing"
"894","t_theyll"
"895","t_owns"
"896","t_possible"
"897","t_action"
"898","t_lost"
"899","t_animals"
"900","t_nrabloodonyourhands"
"901","t_enough"
"902","t_meat"
"903","t_causes"
"904","t_step"
"905","t_trumptrain"
"906","t_voted"
"907","t_rather"
"908","t_problem"
"909","t_bit"
"910","t_analysis"
"911","t_including"
"912","t_puppet"
"913","t_constitutional"
"914","t_sound"
"915","t_yahoonews"
"916","t_compare"
"917","t_gives"
"918","t_minds"
"919","t_account"
"920","t_plans"
"921","t_along"
"922","t_link"
"923","t_becomes"
"924","t_march1nraboycott"
"925","t_foxbusiness"
"926","t_create"
"927","t_phony"
"928","t_15"
"929","t_zones"
"930","t_vote"
"931","t_colbert"
"932","t_program"
"933","t_excellent"
"934","t_44"
"935","t_starts"
"936","t_preventing"
"937","t_sensible"
"938","t_cutting"
"939","t_tweets"
"940","t_defends"
"941","t_looking"
"942","t_working"
"943","t_dangerous"
"944","t_parklandstrong"
"945","t_falseflag"
"946","t_r"
"947","t_influence"
"948","t_parklandstudents"
"949","t_men"
"950","t_social"
"951","t_evilemilie"
"952","t_afraid"
"953","t_whatever"
"954","t_former"
"955","t_convention"
"956","t_tv"
"957","t_nraisaterroristorganization"
"958","t_word"
"959","t_20"
"960","t_allow"
"961","t_danaloesch"
"962","t_important"
"963","t_launchers"
"964","t_teacher"
"965","t_force"
"966","t_nrastrong"
"967","t_stepping"
"968","t_sick"
"969","t_murderers"
"970","t_nomore"
"971","t_newsweek"
"972","t_protests"
"973","t_lockdown"
"974","t_opposed"
"975","t_hands"
"976","t_oppose"
"977","t_guess"
"978","t_likely"
"979","t_home"
"980","t_concealed"
"981","t_criminals"
"982","t_failed"
"983","t_students"
"984","t_event"
"985","t_pressure"
"986","t_wing"
"987","t_refuse"
"988","t_reason"
"989","t_lobby"
"990","t_poor"
"991","t_became"
"992","t_spent"
"993","t_suggesting"
"994","t_actual"
"995","t_metoo"
"996","t_xe2x80x93"
"997","t_massshootings"
"998","t_membership"
"999","t_falling"
"1000","t_brilliant"
"1001","t_got"
"1002","t_drive"
"1003","t_die"
"1004","t_committed"
"1005","t_legally"
"1006","t_kkk"
"1007","t_boycottdelta"
"1008","t_asked"
"1009","t_mr"
"1010","t_cannot"
"1011","t_politician"
"1012","t_destroy"
"1013","t_rise"
"1014","t_scared"
"1015","t_cnnpolitics"
"1016","t_nowthisnews"
"1017","t_points"
"1018","t_career"
"1019","t_training"
"1020","t_constituents"
"1021","t_election"
"1022","t_rest"
"1023","t_veterans"
"1024","t_made"
"1025","t_billions"
"1026","t_wife"
"1027","t_calls"
"1028","t_lack"
"1029","t_gain"
"1030","t_size"
"1031","t_texas"
"1032","t_labor"
"1033","t_unions"
"1034","t_endorsed"
"1035","t_responds"
"1036","t_donaldtrump"
"1037","t_siege"
"1038","t_confront"
"1039","t_woman"
"1040","t_percent"
"1041","t_legal"
"1042","t_threaten"
"1043","t_boycottthenra"
"1044","t_crisis"
"1045","t_claudiatenney"
"1046","t_stopthenra"
"1047","t_prime"
"1048","t_minister"
"1049","t_schooling"
"1050","t_ends"
"1051","t_survivor"
"1052","t_fl"
"1053","t_resign"
"1054","t_strike"
"1055","t_thee"
"1056","t_furious"
"1057","t_attempt"
"1058","t_poison"
"1059","t_difference"
"1060","t_appletv"
"1061","t_freedom"
"1062","t_employee"
"1063","t_wake"
"1064","t_incredible"
"1065","t_memberships"
"1066","t_surge"
"1067","t_antinra"
"1068","t_bias"
"1069","t_iamthenra"
"1070","t_live"
"1071","t_periscope"
"1072","t_pph"
"1073","t_bnc"
"1074","t_jgf"
"1075","t_cbts"
"1076","t_closernation"
"1077","t_blog"
"1078","t_eggdrp"
"1079","t_mondaxe2x80xa6"
"1080","t_httpstcoqycwafvlgq"
"1081","t_ascendant"
"1082","t_essentially"
"1083","t_guardian"
"1084","t_angel"
"1085","t_16"
"1086","t_ascendants"
"1087","t_2018shift"
"1088","t_16ascendants"
"1089","t_rtrrt"
"1090","t_surv"
"1091","t_blackpanther"
"1092","t_mosquemetoo"
"1093","t_illuminati"
"1094","t_visegrad"
"1095","t_120db"
"1096","t_eu"
"1097","t_orban"
"1098","t_prep"
"1099","t_wakanda"
"1100","t_contracts"
"1101","t_matters"
"1102","t_gunreformnow"
"1103","t_banassaultweapons"
"1104","t_march4ourlives"
"1105","t_nbcnews"
"1106","t_resolutions"
"1107","t_thoughtsandprayers"
"1108","t_xf0x9fx94xa5no"
"1109","t_suffer"
"1110","t_addiction"
"1111","t_httpstcotrcq39zwwt"
"1112","t_parklandstudentsspeak"
"1113","t_neveragainmsd"
"1114","t_donlemon"
"1115","t_votethemout"
"1116","t_now"
"1117","t_httpstcoovhopd6kas"
"1118","t_changed"
"1119","t_studentsstandup"
"1120","t_httpstcolbo5tfbldr"
"1121","t_improve"
"1122","t_stalled"
"1123","t_senmikelee"
"1124","t_utah"
"1125","t_placed"
"1126","t_passage"
"1127","t_lee"
"1128","t_wthe"
"1129","t_luv"
"1130","t_presssec"
"1131","t_impeachtrump"
"1132","t_voices"
"1133","t_standingrock"
"1134","t_blacklivesmatter"
"1135","t_httpstcoyhlxa2yope"
"1136","t_reuters"
"1137","t_ixe2x80x99d"
"1138","t_2amendment"
"1139","t_could"
"1140","t_patriots"
"1141","t_couple"
"1142","t_selfdefense"
"1143","t_ad"
"1144","t_shooters"
"1145","t_oldaggie84"
"1146","t_robin1027p"
"1147","t_grenades"
"1148","t_tanks"
"1149","t_continued"
"1150","t_wouldnxe2x80x99t"
"1151","t_bullshit"
"1152","t_passed"
"1153","t_stricter"
"1154","t_equipped"
"1155","t_hillxe2x80x9d"
"1156","t_documentary"
"1157","t_frontlinepbs"
"1158","t_detailing"
"1159","t_sphere"
"1160","t_recently"
"1161","t_nearly"
"1162","t_domestically"
"1163","t_guard"
"1164","t_emmabedorhiland"
"1165","t_acts"
